Date&Time,Bit depth (m),Total RPM,Hook height (m),Torque on bit (lbf.ft),Tension (klbf),Motor RPM,Mud flow (l/mn),SPP (psi),RPM top (rpm),Surface Torque (lbf.ft),ROP (m/h),WOB (klbf)
2018-09-07 04:51:55,3004.038,188.138,9.661,373.80034,158.899,128.138,985.68,3250.698,60.0,4496.047,17.971,3.675
2018-09-07 04:52:00,3004.072,187.792,9.627,392.90055,158.786,127.792,983.016,3260.523,60.0,4844.05,19.2,3.844
2018-09-07 04:52:05,3004.101,188.138,9.599,463.13509,158.745,128.138,985.68,3275.646,60.0,4712.049,20.086,3.9
2018-09-07 04:52:10,3004.135,188.138,9.564,479.88368,158.648,128.138,985.68,3280.648,60.0,4770.05,21.128,3.94
2018-09-07 04:52:15,3004.169,188.138,9.53,511.50415999999996,158.599,128.138,985.68,3289.976,60.0,4860.051,21.423,4.013
2018-09-07 04:52:20,3004.204,188.138,9.496,529.8422,158.624,128.138,985.68,3297.894,60.0,4750.049,21.719,4.013
2018-09-07 04:52:25,3004.238,188.138,9.461,553.82183,158.519,128.138,985.68,3296.394,60.0,4694.049,22.015,4.067
2018-09-07 04:52:30,3004.267,188.138,9.433,562.46231,158.565,128.138,985.68,3300.681,60.0,4846.05,21.968,4.133
2018-09-07 04:52:35,3004.301,187.792,9.399,556.29218,158.491,127.792,983.016,3299.662,60.0,4616.048,21.911,4.109
2018-09-07 04:52:40,3004.329,188.138,9.37,537.19197,158.614,128.138,985.68,3297.509,60.0,4700.049,22.216,3.964
2018-09-07 04:52:45,3004.364,188.138,9.336,566.8706400000001,158.667,128.138,985.68,3302.633,60.0,4626.048,22.512,3.964
2018-09-07 04:52:50,3004.392,187.792,9.307,560.70051,158.562,127.792,983.016,3304.838,60.0,4684.049,22.465,3.997
2018-09-07 04:52:55,3004.427,188.069,9.273,532.07892,158.487,128.069,985.147,3307.302,60.0,4914.851,22.761,4.08
2018-09-07 04:53:00,3004.455,188.138,9.244,522.79117,158.525,128.138,985.68,3307.675,60.0,4524.047,22.713,4.206
2018-09-07 04:53:05,3004.489,188.138,9.21,554.4691,158.532,128.138,985.68,3316.491,60.0,4716.849,23.009,4.082
2018-09-07 04:53:10,3004.524,188.138,9.176,596.8442200000001,158.653,128.138,985.68,3313.715,60.0,4616.048,23.269,3.852
2018-09-07 04:53:15,3004.552,169.28,9.147,573.0407700000001,158.601,128.138,985.68,3306.975,60.0,4832.05,23.04,4.061
2018-09-07 04:53:20,3004.587,188.138,9.113,560.11452,158.572,128.138,985.68,3303.448,60.0,4900.051,23.154,4.222
2018-09-07 04:53:25,3004.621,188.138,9.079,552.17876,158.69,128.138,985.68,3302.273,60.0,4644.048,23.269,3.892
2018-09-07 04:53:30,3004.649,188.138,9.05,558.93488,158.641,128.138,985.68,3301.985,60.0,4806.05,23.04,3.956
2018-09-07 04:53:35,3004.683,187.792,9.016,557.46799,158.527,127.792,983.016,3306.787,60.0,4600.048,23.135,4.117
2018-09-07 04:53:40,3004.713,188.138,8.987,571.5738799999999,158.378,128.138,985.68,3310.003,60.0,4916.051,22.938,4.31
2018-09-07 04:53:45,3004.737,188.138,8.963,554.53038,158.455,128.138,985.68,3306.417,60.0,4792.05,22.062,4.399
2018-09-07 04:53:50,3004.761,188.138,8.938,546.71335,158.334,128.138,985.68,3303.045,60.0,4838.45,21.963,4.362
2018-09-07 04:53:55,3004.79,188.138,8.909,543.94809,158.418,128.138,985.68,3300.655,60.0,4904.051,21.767,4.214
2018-09-07 04:54:00,3004.824,188.138,8.875,543.06719,158.181,128.138,985.68,3296.881,60.0,4616.048,21.862,4.656
2018-09-07 04:54:05,3004.863,188.138,8.837,568.04645,157.9,128.138,985.68,3304.713,60.0,4876.051,22.247,4.945
2018-09-07 04:54:10,3004.897,188.138,8.803,574.8064,157.592,128.138,985.68,3314.007,60.0,5218.054,22.357,5.259
2018-09-07 04:54:15,3004.931,188.138,8.769,623.05674,157.246,128.138,985.68,3321.509,60.0,5155.654,22.524,5.651
2018-09-07 04:54:20,3004.97,187.446,8.73,699.40779,157.171,127.446,980.352,3338.78,60.0,5176.054,22.983,5.846
2018-09-07 04:54:25,3005.004,188.138,8.696,749.6573900000001,157.057,128.138,985.68,3356.472,60.0,5436.057,23.151,5.854
2018-09-07 04:54:30,3005.038,187.792,8.662,764.3492699999999,157.082,127.792,983.016,3357.666,60.0,5240.055,23.318,5.822
2018-09-07 04:54:35,3005.072,188.138,8.628,764.64418,157.137,128.138,985.68,3357.549,60.0,5314.055,23.486,5.862
2018-09-07 04:54:40,3005.11,188.138,8.589,779.63097,157.187,128.138,985.68,3358.512,60.0,5474.057,23.944,5.677
2018-09-07 04:54:45,3005.149,187.792,8.55,740.54582,157.009,127.792,983.016,3355.129,60.0,5350.056,24.403,5.798
2018-09-07 04:54:50,3005.178,188.138,8.521,753.18482,157.007,128.138,985.68,3357.96,60.0,5190.054,24.28,5.895
2018-09-07 04:54:55,3005.212,188.138,8.487,757.88423,157.092,128.138,985.68,3362.46,60.0,5218.054,24.447,5.717
2018-09-07 04:55:00,3005.246,187.792,8.453,795.49866,156.908,127.792,983.016,3366.213,60.0,5162.054,24.615,6.119
2018-09-07 04:55:05,3005.29,188.069,8.41,800.61171,156.855,128.069,985.147,3365.315,60.0,5414.456,25.365,6.113
2018-09-07 04:55:10,3005.333,188.138,8.366,774.6328199999999,156.438,128.138,983.016,3366.054,60.0,5380.056,26.052,6.482
2018-09-07 04:55:15,3005.377,187.446,8.322,809.89946,155.992,127.446,983.016,3375.804,60.0,5552.058,26.488,7.133
2018-09-07 04:55:20,3005.421,187.792,8.279,895.1207899999999,155.72,127.792,983.016,3391.413,60.0,5732.06,26.925,7.293
2018-09-07 04:55:25,3005.464,188.138,8.235,939.79008,155.437,128.138,985.68,3405.613,60.0,5624.058,26.925,7.712
2018-09-07 04:55:30,3005.503,188.138,8.196,952.7201600000001,155.318,128.138,985.68,3415.125,60.0,5840.061,27.507,7.72
2018-09-07 04:55:35,3005.547,187.792,8.153,990.45332,155.222,127.792,983.016,3420.335,60.0,5906.061,27.944,7.873
2018-09-07 04:55:40,3005.591,188.069,8.109,1032.67524,155.125,128.069,985.147,3429.188,60.0,5809.26,28.38,8.016
2018-09-07 04:55:45,3005.629,188.138,8.07,1074.0852,154.855,128.138,985.68,3441.779,60.0,5610.058,28.526,8.283
2018-09-07 04:55:50,3005.668,188.138,8.031,1049.69576,154.814,128.138,985.68,3433.95,60.0,5748.06,28.671,8.363
2018-09-07 04:55:55,3005.717,187.792,7.983,1012.66732,154.857,127.792,983.016,3427.741,60.0,5926.062,29.399,8.387
2018-09-07 04:56:00,3005.76,187.792,7.939,1011.49151,154.977,127.792,983.016,3427.099,60.0,5924.062,29.399,8.21
2018-09-07 04:56:05,3005.794,187.792,7.905,1069.38579,155.062,127.792,983.016,3434.095,60.0,5748.06,29.69,8.138
2018-09-07 04:56:10,3005.833,187.446,7.866,1054.10409,155.074,127.446,980.352,3434.45,60.0,5760.06,29.777,8.122
2018-09-07 04:56:15,3005.877,188.138,7.823,1059.68823,155.054,128.138,985.68,3436.751,60.0,5678.059,29.923,8.25
2018-09-07 04:56:20,3005.916,188.138,7.784,1064.09656,154.926,128.138,985.68,3440.545,60.0,6088.063,29.777,8.315
2018-09-07 04:56:25,3005.954,188.138,7.745,1037.35167,155.178,128.138,985.68,3435.67,60.0,5772.06,29.632,8.009
2018-09-07 04:56:30,3005.998,187.446,7.701,1033.82807,155.148,127.446,980.352,3434.04,60.0,5678.059,29.777,8.074
2018-09-07 04:56:35,3006.042,187.446,7.658,1046.46324,155.117,127.446,983.016,3433.395,60.0,5706.059,29.923,8.049
2018-09-07 04:56:40,3006.081,188.138,7.619,1051.16648,155.107,128.138,985.68,3437.556,60.0,5748.06,29.777,8.058
2018-09-07 04:56:45,3006.119,188.138,7.58,1070.5616,154.969,128.138,985.68,3444.373,60.0,5840.061,29.632,8.291
2018-09-07 04:56:50,3006.163,187.792,7.536,1064.97746,154.876,127.792,983.016,3443.073,60.0,5854.061,29.777,8.403
2018-09-07 04:56:55,3006.202,188.069,7.498,1052.57592,154.91,128.069,982.483,3439.206,60.0,5688.859,29.632,8.331
2018-09-07 04:57:00,3006.246,187.792,7.454,1065.85836,154.827,127.792,985.68,3445.176,60.0,5772.06,29.777,8.259
2018-09-07 04:57:05,3006.284,188.138,7.415,1094.6561299999998,154.856,128.138,985.68,3445.062,60.0,5878.061,29.632,8.306
2018-09-07 04:57:10,3006.338,187.792,7.362,1037.06059,154.818,127.792,983.016,3438.27,60.0,5784.06,30.36,8.395
2018-09-07 04:57:15,3006.381,188.138,7.318,1041.46892,154.417,128.138,985.68,3434.857,60.0,5852.061,30.505,8.773
2018-09-07 04:57:20,3006.43,188.138,7.27,1055.57098,154.38,128.138,985.68,3437.091,60.0,5976.062,30.942,8.95
2018-09-07 04:57:25,3006.464,187.792,7.236,1075.2610100000002,154.161,127.792,983.016,3441.617,60.0,6088.063,30.505,9.255
2018-09-07 04:57:30,3006.517,188.138,7.182,1080.25916,154.108,128.138,985.68,3444.248,60.0,5926.062,30.738,9.232
2018-09-07 04:57:35,3006.556,187.446,7.143,1105.82441,154.087,127.446,980.352,3450.767,60.0,6058.063,31.087,9.312
2018-09-07 04:57:40,3006.6,187.792,7.1,1166.36139,153.912,127.792,980.352,3464.984,60.0,6212.065,31.233,9.449
2018-09-07 04:57:45,3006.643,188.138,7.056,1210.44086,153.977,128.138,985.68,3476.733,60.0,5926.062,31.378,9.393
2018-09-07 04:57:50,3006.692,187.792,7.008,1179.29147,153.89,127.792,983.016,3475.241,60.0,6004.062,31.815,9.513
2018-09-07 04:57:55,3006.736,187.446,6.964,1179.88129,154.116,127.446,980.352,3472.31,60.0,6158.064,31.961,9.36
2018-09-07 04:58:00,3006.779,188.138,6.92,1201.33312,154.008,128.138,985.68,3470.091,60.0,5966.062,32.106,9.424
